Rank,Title,Theaters,Total Gross,Release Date,Distributor
105,The Miracle Club,677,"$2,104,152",2023-07-14 00:00:00,Sony Pictures Entertainment (SPE)
106,Skinamarink,809,"$2,052,272",2023-01-13 00:00:00,IFC Films
107,Jurassic Park2023 Re-release (30th Anniversary),"1,224","$1,864,240",2023-08-25 00:00:00,Universal Pictures
108,Golda,883,"$1,856,809",2023-08-25 00:00:00,Bleecker Street Media
109,Somewhere in Queens,602,"$1,802,442",2023-04-21 00:00:00,Roadside Attractions
110,Jules,780,"$1,775,876",2023-08-11 00:00:00,Bleecker Street Media
111,Winnie the Pooh: Blood and Honey,"1,652","$1,750,639",2023-02-15 00:00:00,Fathom Events
112,Fear,974,"$2,090,261",2023-01-27 00:00:00,Hidden Empire Film Group (HEFG)
113,Lost in the Stars,'-,"$1,721,446",2023-07-07 00:00:00,CMC Pictures
114,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"1,473","$1,588,491",2023-01-20 00:00:00,Crunchyroll
115,The Banshees of Inisherin,"1,205","$10,582,266",2023-10-21 00:00:00,Searchlight Pictures
116,Polite Society,927,"$1,545,600",2023-04-28 00:00:00,Focus Features
117,The Quiet Girl,244,"$1,500,014",2023-02-24 00:00:00,Neon
118,BlackBerry,449,"$1,476,597",2023-05-12 00:00:00,IFC Films
119,Spirited Away2023 Re-release (Live on Stage),"1,046","$1,455,081",2023-04-23 00:00:00,Fathom Events
120,Oldboy2023 Re-release,250,"$1,443,314",2023-08-16 00:00:00,'-
121,Maybe I Do,465,"$1,293,722",2023-01-27 00:00:00,Vertical Entertainment
122,Billie Eilish Live at the O2,600,"$1,290,000",2023-01-27 00:00:00,Trafalgar Releasing
123,The First Slam Dunk,581,"$1,256,517",2023-07-28 00:00:00,GKIDS
124,Tár,"1,090","$6,773,650",2023-10-07 00:00:00,Focus Features
125,The Lost King,753,"$1,188,032",2023-03-24 00:00:00,IFC Films
126,The Lord of the Rings: The Return of the King20th Anniversary,"1,107","$1,176,085",2023-04-13 00:00:00,Fathom Events
127,Strange World,"4,174","$37,968,963",2023-11-23 00:00:00,Walt Disney Studios Motion Pictures
128,Close,233,"$1,100,113",2023-01-27 00:00:00,A24
129,Emily,579,"$1,097,067",2023-02-17 00:00:00,Bleecker Street Media
130,Knights of the Zodiac,588,"$1,090,155",2023-05-12 00:00:00,'-
131,Broker,271,"$1,046,899",2023-12-23 00:00:00,Neon
132,Showing Up,115,"$754,483",2023-04-07 00:00:00,A24
133,The Roundup: No Way Out,41,"$909,411",2023-06-02 00:00:00,Capelight Pictures
134,Inside,357,"$897,190",2023-03-17 00:00:00,Focus Features
135,Fool's Paradise,794,"$855,173",2023-05-12 00:00:00,Roadside Attractions
136,Paint,819,"$811,739",2023-04-07 00:00:00,IFC Films
137,Return to Seoul,103,"$798,774",2023-02-17 00:00:00,Sony Pictures Classics
138,Hidden Blade,62,"$803,189",2023-02-17 00:00:00,Well Go USA Entertainment
139,The Devil Conspiracy,925,"$765,218",2023-01-13 00:00:00,'-
140,Roll with It,725,"$757,981",2023-05-09 00:00:00,Fathom Events
141,How to Blow Up a Pipeline,530,"$750,010",2023-04-07 00:00:00,'-
142,Rally Road Racers,"1,228","$744,169",2023-05-12 00:00:00,Viva Pictures
143,It Ain't Over,128,"$705,355",2023-05-12 00:00:00,Sony Pictures Entertainment (SPE)
144,Devotion,"3,458","$20,511,938",2023-11-23 00:00:00,Columbia Pictures
145,Master Gardener,225,"$667,114",2023-05-19 00:00:00,Magnolia Pictures
146,Shortcomings,404,"$653,780",2023-08-04 00:00:00,Sony Pictures Classics
147,Corsage,317,"$705,767",2023-12-23 00:00:00,IFC Films
148,EO,80,"$1,068,782",2023-11-18 00:00:00,Sideshow Releasing
149,Shin Ultraman,"1,040","$601,490",2023-01-11 00:00:00,Fathom Events
150,The Thorn,834,"$577,004",2023-03-06 00:00:00,Fathom Events
151,The Way2023  Re-release,755,"$567,448",2023-05-16 00:00:00,Fathom Events
152,Of an Age,289,"$556,585",2023-02-17 00:00:00,Focus Features
153,Sweetwater,"1,204","$541,633",2023-04-14 00:00:00,Briarcliff Entertainment
154,Aftersun,97,"$1,658,790",2023-10-21 00:00:00,A24
155,Consecration,762,"$538,551",2023-02-10 00:00:00,IFC Films
156,Sanctuary,225,"$535,202",2023-05-19 00:00:00,'-
157,Bottoms,10,"$533,978",2023-08-25 00:00:00,Orion Pictures
158,Triangle of Sadness,610,"$4,608,096",2023-10-07 00:00:00,Neon
159,"Crouching Tiger, Hidden Dragon2023 Re-release",475,"$451,549",2023-02-17 00:00:00,Sony Pictures Classics
160,A Father's Heart,741,"$447,912",2023-05-01 00:00:00,Fathom Events
161,The Son,554,"$449,650",2023-01-20 00:00:00,Sony Pictures Classics
162,The Essential Church,301,"$412,550",2023-07-28 00:00:00,Atlas Distribution Company
163,Mending the Line,403,"$379,890",2023-06-09 00:00:00,Blue Fox Entertainment
164,CatVideoFest 2023,37,"$327,584",2023-08-04 00:00:00,Oscilloscope
165,Go West,38,"$340,017",2023-07-19 00:00:00,Purdie Distribution
166,Terrifier,853,"$339,946",2023-07-19 00:00:00,'-
167,Selfiee,308,"$335,775",2023-02-24 00:00:00,'-
168,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,34,"$335,417",2023-12-30 00:00:00,Sony Pictures Entertainment (SPE)
169,Wild Life,30,"$326,184",2023-04-14 00:00:00,Picturehouse
170,Children of the Corn,586,"$325,583",2023-03-03 00:00:00,'-
171,Waltair Veerayya,350,"$320,000",2023-01-13 00:00:00,'-
172,The Lesson,268,"$310,746",2023-07-07 00:00:00,'-
173,Psycho-Pass: Providence,419,"$309,757",2023-07-14 00:00:00,Crunchyroll
174,UFC 291: Poirier vs. Gaethje 2,347,"$308,825",2023-07-29 00:00:00,'-
175,Mirando Al Cielo,680,"$295,539",2023-04-18 00:00:00,Fathom Events
176,Joyland,38,"$302,550",2023-04-07 00:00:00,Oscilloscope
177,Passages,114,"$415,827",2023-08-04 00:00:00,MUBI
178,Southern Gospel,600,"$293,496",2023-03-10 00:00:00,'-
179,School of Magical Animals,301,"$288,414",2023-03-24 00:00:00,Blue Fox Entertainment
180,Dreamin' Wild,402,"$276,672",2023-08-04 00:00:00,Roadside Attractions
181,The Eight Mountains,51,"$302,456",2023-04-28 00:00:00,Variance Films
182,Every Body,255,"$273,860",2023-06-30 00:00:00,Focus Features
183,Empire of Light,436,"$1,177,577",2023-12-09 00:00:00,Searchlight Pictures
184,Born to Fly,74,"$277,011",2023-04-28 00:00:00,Well Go USA Entertainment
185,RRR Fan CelebRRRation2023 Re-release,283,"$256,566",2023-03-03 00:00:00,Variance Films
186,Malum,249,"$221,738",2023-03-31 00:00:00,'-
187,All the Beauty and the Bloodshed,48,"$500,082",2023-11-23 00:00:00,'-
188,Saint Omer,245,"$213,953",2023-01-13 00:00:00,Neon
189,Afire,44,"$204,620",2023-07-14 00:00:00,Sideshow Releasing
190,One Fine Morning,49,"$214,470",2023-01-27 00:00:00,Sony Pictures Entertainment (SPE)
191,Lourdes2022 Re-release,624,"$197,702",2023-02-08 00:00:00,Fathom Events
192,When You Finish Saving the World,403,"$196,920",2023-01-20 00:00:00,A24
193,Landscape with Invisible Hand,304,"$193,829",2023-08-18 00:00:00,'-
194,"Lyle, Lyle, Crocodile","4,350","$46,888,441",2023-10-07 00:00:00,Sony Pictures Entertainment (SPE)
195,The Conformist2023 Re-release,7,"$180,135",2023-01-06 00:00:00,Kino Lorber
196,Contempt4k Restoration - 60th Anniversary,8,"$173,816",2023-06-30 00:00:00,Rialto Pictures
197,The Wrath of Becky,274,"$168,109",2023-05-26 00:00:00,Quiver Distribution
198,The Starling Girl,114,"$161,290",2023-05-12 00:00:00,Bleecker Street Media
199,¡Que viva México!,90,"$161,222",2023-03-24 00:00:00,Sony Pictures Entertainment (SPE)
200,Enys Men,62,"$189,579",2023-03-31 00:00:00,'-
